name,slug,created_at,updated_at
Educación,EDUCACION,2018-11-06 14:14:09,2018-11-06 14:14:09
Vivienda,VIVIENDA,2018-11-06 14:14:09,2018-11-06 14:14:09
Tránsito y Seguridad Vial,TRáNSITO Y SEGURIDAD VIAL,2018-11-06 14:14:09,2020-07-19 16:28:59
Deporte,DEPORTE,2018-11-06 14:14:09,2018-11-06 14:14:09
Salud,SALUD,2018-11-06 14:14:09,2018-11-06 14:14:09
Finanzas,FINANZAS,2018-11-06 14:14:09,2018-11-06 14:14:09
Identificación,IDENTIFICACIóN,2018-11-20 19:45:49,2018-11-20 19:45:49
Leyes,LEYES,2018-11-20 19:45:58,2018-11-20 19:45:58
Georeferencias,GEOREFERENCIAS,2018-11-20 20:08:03,2018-11-20 20:08:03
Leyes y Justicia,LEYES Y JUSTICIA,2018-11-20 20:08:13,2018-11-20 20:08:13
Extranjería,EXTRANJERíA,2018-11-20 20:08:32,2018-11-20 20:08:32
Registro Civil e Identificación,REGISTRO CIVIL E IDENTIFICACIóN,2018-11-20 20:09:11,2018-11-20 20:09:11
Electricidad,ELECTRICIDAD,2019-03-30 00:03:27,2019-03-30 00:03:27
Telecomunicaciones,TELECOMUNICACIONES,2019-03-30 02:29:02,2019-03-30 02:29:02
Agricultura,AGRICULTURA,2019-03-30 17:08:40,2019-03-30 17:08:40
Empresas,EMPRESAS,2019-03-30 17:58:36,2019-03-30 17:58:36
Seguridad Ciudadana,SEGURIDAD CIUDADANA,2019-04-08 16:58:33,2019-04-08 16:58:33
Exportación / Importación,EXPORTACIóN / IMPORTACIóN,2019-04-08 20:00:07,2019-04-08 20:00:07
Sector Minero,SECTOR MINERO,2019-04-30 21:10:10,2019-04-30 21:10:10
Medio Ambiente,MEDIO AMBIENTE,2019-05-08 16:10:35,2019-05-08 16:10:35
Análisis Químico / Biológico,ANáLISIS QUíMICO / BIOLóGICO,2019-05-09 13:36:46,2019-05-09 13:36:46
Subsidio Social,SUBSIDIO SOCIAL,2019-05-28 15:39:03,2019-05-28 15:39:03
Cinematografía y Audiovisuales,CINEMATOGRAFíA Y AUDIOVISUALES,2019-05-31 16:36:50,2019-05-31 16:36:50
Derechos de Autor,DERECHOS DE AUTOR,2019-06-01 22:57:20,2019-06-01 22:57:20
Propiedad Industrial,PROPIEDAD INDUSTRIAL,2019-06-03 11:52:46,2019-06-03 11:52:46
Energía,ENERGíA,2019-06-04 15:43:59,2019-06-04 15:43:59
Mercado de Valores,MERCADO DE VALORES,2019-06-04 16:23:55,2019-06-04 16:23:55
Competencia,COMPETENCIA,2019-06-06 12:22:00,2019-06-06 12:22:00
Bienes Inmuebles,BIENES INMUEBLES,2019-06-10 16:39:00,2019-06-10 16:39:00
Recursos Marítimos,RECURSOS MARíTIMOS,2019-06-11 11:19:19,2019-06-11 11:19:19
Datos Estadísticos Nacional,DATOS ESTADíSTICOS NACIONAL,2019-06-11 13:00:48,2019-06-11 13:00:48
Microfinanzas,MICROFINANZAS,2019-06-27 15:19:01,2019-06-27 15:19:01
Agropecuaria y Forestal,AGROPECUARIA Y FORESTAL,2019-06-27 16:40:42,2019-06-27 16:40:42
Zona Franca,ZONA FRANCA,2019-06-28 09:54:58,2019-06-28 09:54:58
Contabilidad Gubernamental,CONTABILIDAD GUBERNAMENTAL,2019-07-25 10:28:09,2019-07-25 10:28:09
Seguridad Fronteriza,SEGURIDAD FRONTERIZA,2019-07-29 12:55:35,2019-07-29 12:55:35
Fuerzas Armadas,FUERZAS ARMADAS,2019-07-30 10:14:55,2019-07-30 10:14:55
Acueductos y Alcantarillados,ACUEDUCTOS Y ALCANTARILLADOS,2019-08-01 10:04:48,2019-08-01 10:04:48
Climatología,CLIMATOLOGíA,2019-10-19 18:48:26,2019-10-19 18:48:26
Impuesto,IMPUESTO,2019-11-12 16:18:35,2020-01-08 15:24:24
Administración Pública,ADMINISTRACIóN PúBLICA,2019-11-20 19:01:24,2019-11-20 19:01:24
Calidad,CALIDAD,2019-11-20 19:48:42,2019-11-20 19:48:42
Comercialización agropecuaria,COMERCIALIZACIóN AGROPECUARIA,2019-12-11 16:32:47,2019-12-11 16:32:47
Control Migratorio,CONTROL MIGRATORIO,2019-12-19 16:22:42,2019-12-19 16:22:42
Industria y Comercio,INDUSTRIA Y COMERCIO,2019-12-23 09:41:50,2019-12-23 09:41:50
Aduanas,ADUANAS,2019-12-27 11:39:24,2019-12-27 11:39:24
Aviación Civil,AVIACIóN CIVIL,2020-01-02 15:28:03,2020-01-02 15:28:03
Obras Públicas,OBRAS PúBLICAS,2020-01-07 10:58:40,2020-01-07 10:58:40
Laboral,LABORAL,2020-01-08 11:48:52,2020-01-08 11:48:52
Protección Consumidor,PROTECCIóN CONSUMIDOR,2020-01-09 10:23:04,2020-01-09 10:23:04
Seguridad Lógica,SEGURIDAD LóGICA,2020-01-10 15:56:37,2020-01-10 15:56:37
Políticas Macroeconómicas,POLíTICAS MACROECONóMICAS,2020-01-13 09:20:31,2020-01-13 09:20:31
Pesca y Acuicultura,PESCA Y ACUICULTURA,2020-01-13 10:46:50,2020-01-13 10:46:50
Agua Potable,AGUA POTABLE,2020-03-24 12:44:48,2020-03-24 12:44:48
Seguros,SEGUROS,2020-04-01 16:46:18,2020-04-01 16:46:18
Discapacidad,DISCAPACIDAD,2020-04-22 09:06:41,2020-04-22 09:06:41
Jubilación / Pensión,JUBILACIóN / PENSIóN,2020-07-15 15:38:20,2020-07-15 15:38:20
Compras y Contrataciones Públicas,COMPRAS Y CONTRATACIONES PúBLICAS,2020-07-28 12:11:58,2020-07-28 12:11:58
Pasaporte,PASAPORTE,2021-10-27 08:34:00,2021-10-27 08:34:00
Ganadería,GANADERíA,2021-11-03 09:27:38,2021-11-03 09:27:38
Viceministerio Desarollo Social,VICEMINISTERIO DESAROLLO SOCIAL,2021-11-05 11:22:13,2021-11-05 11:22:13
Educación y Genero.,EDUCACIóN Y GENERO.,2022-01-27 10:04:26,2022-01-27 10:04:26
Alimentación.,ALIMENTACIóN.,2022-02-04 10:32:05,2022-02-04 10:32:05
Artes,ARTES,2022-04-26 15:33:22,2022-04-26 15:33:22
Area Cooperativa,AREA COOPERATIVA,2022-05-10 12:17:26,2022-05-10 12:17:26
División de Mercadeo.,DIVISIóN DE MERCADEO.,2022-07-05 09:15:54,2022-07-05 09:15:54
Departamento de Capacitación.,DEPARTAMENTO DE CAPACITACIóN.,2022-07-05 09:39:58,2022-07-05 09:39:58
